,accuracy,precision,recall,f-score,hamloss,subset,microf,macrof
0,0.9946902654867257,0.0,0.0,,0.005309734513274336,0.9946902654867257,,0.0
1,0.9700667598199038,0.0,0.0,,0.029933240180096254,0.9700667598199038,,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9823785126533148,0.0,0.0,,0.017621487346685297,0.9823785126533148,,0.0
4,0.9436422915696321,0.0035242974693370593,0.0035242974693370593,0.008810743673342648,0.056357708430367956,0.9436422915696321,0.25396825396825395,0.0035242974693370593
5,0.9472131656575066,0.014097189877348237,0.014097189877348237,0.017621487346685297,0.052786834342493406,0.9472131656575066,0.4041666666666667,0.014097189877348237
6,0.7657040832168918,0.4417637012886198,0.4417637012886198,0.4417637012886198,0.23429591678310818,0.7657040832168918,0.7891090666516283,0.4417637012886198
7,0.9770532526005278,0.0,0.0,,0.022946747399472132,0.9770532526005278,,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9859028101226517,0.0,0.0,,0.014097189877348237,0.9859028101226517,,0.0
10,0.9894426331315014,0.0,0.0,,0.01055736686849868,0.9894426331315014,,0.0
11,0.7923459090203384,0.19720540288775035,0.19720540288775035,0.19720540288775035,0.20765409097966153,0.7923459090203384,0.6593243731800579,0.19720540288775035
12,0.9366247477099829,0.0,0.0,,0.06337525229001709,0.9366247477099829,,0.0
13,0.9013817730166123,0.019375873311597576,0.019375873311597576,0.02421984163949697,0.09861822698338767,0.9013817730166123,0.31953781512605045,0.019375873311597576
14,0.7146871603788232,0.3326502095947834,0.3326502095947834,0.3326502095947834,0.2853128396211768,0.7146871603788232,0.6980737263362844,0.3326502095947834
15,0.9911814935569012,0.0,0.0,,0.008818506443098898,0.9911814935569012,,0.0
16,0.9964757025306629,0.0,0.0,,0.0035242974693370593,0.9964757025306629,,0.0
17,0.9841639496972518,0.0,0.0,,0.01583605030274802,0.9841639496972518,,0.0
18,0.9823940381928271,0.0,0.0,,0.017605961807172797,0.9823940381928271,,0.0
19,0.9929514050613258,0.0,0.0,,0.0070485949386741185,0.9929514050613258,,0.0
20,0.9366247477099829,0.0,0.0,,0.06337525229001709,0.9366247477099829,,0.0
21,0.8872380065207265,0.01055736686849868,0.01055736686849868,0.0175956114474978,0.1127619934792734,0.8872380065207265,0.23645147123407995,0.01055736686849868
22,0.9647725508461418,0.0087874553640739,0.0087874553640739,0.010984319205092376,0.035227449153858094,0.9647725508461418,0.4136904761904762,0.0087874553640739
23,0.9296072038503338,0.012358329451948456,0.012358329451948456,0.030895823629871137,0.07039279614966619,0.9296072038503338,0.5096153846153846,0.012358329451948456
24,0.9471665890389692,0.0017699115044247787,0.0017699115044247787,0.008849557522123894,0.05283341096103089,0.9471665890389692,0.19999999999999998,0.0017699115044247787
25,0.6672255860891166,0.1936034777208508,0.1936034777208508,0.19360347772085082,0.33277441391088336,0.6672255860891166,0.5333503725709535,0.1936034777208508
26,0.9876571960875641,0.0,0.0,,0.012342803912435956,0.9876571960875641,,0.0
27,0.9964912280701753,0.0,0.0,,0.003508771929824561,0.9964912280701753,,0.0
28,0.9911814935569012,0.0,0.0,,0.008818506443098898,0.9911814935569012,,0.0
29,0.964772550846142,0.05103244837758112,0.05103244837758112,0.05103244837758112,0.035227449153858094,0.964772550846142,0.7449874686716793,0.05103244837758112
30,0.9964757025306629,0.0,0.0,,0.0035242974693370593,0.9964757025306629,,0.0
