,accuracy,precision,recall,f-score,hamloss,subset,microf,macrof
0,0.7184571735296372,0.1017636684303351,0.1017636684303351,0.1017636684303351,0.28154282647036266,0.7184571735296372,0.4178106094532955,0.1017636684303351
1,0.5955831608005521,0.1389694041867955,0.1389694041867955,0.1389694041867955,0.4044168391994479,0.5955831608005521,0.4061329477803429,0.1389694041867955
2,0.6700329729315236,0.22457633617053907,0.22457633617053907,0.22457633617053907,0.32996702706847636,0.6700329729315236,0.5781213002609172,0.22457633617053907
3,0.6872939191779771,0.16875239628862818,0.16875239628862818,0.16875239628862818,0.31270608082202284,0.6872939191779771,0.5191940206366134,0.16875239628862818
4,0.7369603558009356,0.0955524883061115,0.0955524883061115,0.0955524883061115,0.2630396441990645,0.7369603558009356,0.418581450238694,0.0955524883061115
5,0.7853615520282187,0.031002223755846946,0.031002223755846946,0.031002223755846946,0.21463844797178133,0.7853615520282187,0.22062635087479804,0.031002223755846946
6,0.8374511157119853,0.023564143853998926,0.023564143853998926,0.023564143853998926,0.1625488842880147,0.8374511157119853,0.22478991596638656,0.023564143853998926
7,0.7989878076834598,0.02232190782915421,0.02232190782915421,0.02232190782915421,0.20101219231654013,0.7989878076834598,0.18308836564650519,0.02232190782915421
8,0.9168468675715052,0.0,0.0,,0.08315313242849476,0.9168468675715052,,0.0
9,0.8858369756920481,0.0,0.0,,0.11416302430795185,0.8858369756920481,,0.0
10,0.8746721877156659,0.0,0.0,,0.12532781228433404,0.8746721877156659,,0.0
11,0.7270531400966183,0.7171152518978605,0.7171152518978605,0.7171152518978605,0.27294685990338163,0.7270531400966183,0.839950817302997,0.7171152518978605
12,0.7220765278736293,0.7220765278736293,0.7220765278736293,0.7220765278736293,0.2779234721263707,0.7220765278736293,0.8384186068731889,0.7220765278736293
13,0.9801702323441454,0.0,0.0,,0.019829767655854612,0.9801702323441454,,0.0
